년도,구,지체,청각,시각,뇌병변,지적,정신,신장,자폐성,언어,장루요루,호흡기,간,뇌전증,심장,안면,지체수검률,청각수검률,시각수검률,뇌병변수검률,지적수검률,정신수검률,신장수검률,자폐성수검률,언어수검률,장루요루수검률,호흡기수검률,간수검률,뇌전증수검률,심장수검률,안면수검률
2021,종로구,742,213,189,65,56,29,22,10,12,4,3,10,3,3,2,67.6,59,68.7,32.2,56,53.7,28.2,66.7,60,44.4,60,50,60,100,66.7
2021,중구,716,181,207,71,44,26,32,9,5,7,5,10,5,4,3,66.5,55.7,68.1,43.8,57.1,51,47.8,56.3,62.5,43.8,83.3,62.5,83.3,66.7,100
2021,용산구,876,251,269,72,74,25,36,10,9,11,1,19,4,3,2,61.5,55,68.3,34.8,57.8,43.9,32.1,45.5,42.9,39.3,9.1,61.3,80,37.5,66.7
2021,성동구,1527,420,328,157,105,51,70,19,18,15,18,16,11,5,3,66.2,61.9,65.3,42.8,58.3,59.3,46.7,46.3,54.5,48.4,58.1,55.2,91.7,83.3,100
2021,광진구,1866,459,417,188,136,60,87,13,20,21,18,17,7,11,2,71.7,62.2,70,43.3,57.6,50.8,46.8,43.3,64.5,51.2,78.3,56.7,70,61.1,40
2021,동대문구,2221,618,434,211,139,65,88,19,22,22,16,19,9,10,9,70.6,65.1,68.8,41.6,60.4,47.4,40.7,63.3,53.7,45.8,53.3,50,50,66.7,81.8
2021,중랑구,2987,659,568,283,192,78,139,27,30,30,25,28,13,11,2,72.8,67,67,46.5,61.5,54.2,49.6,45.8,60,56.6,62.5,57.1,68.4,52.4,100
2021,성북구,2478,643,535,220,160,83,132,22,26,25,14,30,17,4,7,71.1,61.6,67,41,57.6,56.8,44.9,53.7,63.4,55.6,43.8,58.8,77.3,66.7,87.5
2021,강북구,2287,678,549,233,151,52,97,19,25,25,13,17,9,8,2,71,65.1,67.4,43.8,57.2,44.1,42.9,51.4,61,55.6,52,65.4,75,80,66.7
2021,도봉구,2294,599,505,261,164,68,112,27,16,25,12,24,8,8,2,74,65.7,71.4,48.3,59.2,53.5,50,60,55.2,53.2,63.2,60,66.7,61.5,50
2021,노원구,3308,799,718,334,219,90,149,25,48,32,15,32,19,25,8,72.2,63.7,70.5,44.3,53.5,49.5,49,35.7,60.8,47.1,51.7,64,76,75.8,57.1
2021,은평구,2940,861,683,289,230,81,118,40,35,41,13,35,13,10,10,73.1,63.9,69.1,47.3,62.2,50,44.7,58.8,59.3,57.7,41.9,54.7,81.3,58.8,71.4
2021,서대문구,1736,460,365,186,102,57,105,17,18,24,9,28,2,8,2,70.6,61.3,66.2,41.5,51,55.9,44.9,48.6,52.9,53.3,69.2,60.9,28.6,72.7,50
2021,마포구,1672,466,408,141,136,59,80,15,14,24,9,19,6,7,3,67.5,59.7,65.9,35.6,58.1,57.3,40.2,41.7,50,51.1,60,65.5,60,70,100
