년도,구,지체,청각,시각,뇌병변,지적,정신,신장,자폐성,언어,장루요루,호흡기,간,뇌전증,심장,안면,지체수검률,청각수검률,시각수검률,뇌병변수검률,지적수검률,정신수검률,신장수검률,자폐성수검률,언어수검률,장루요루수검률,호흡기수검률,간수검률,뇌전증수검률,심장수검률,안면수검률
2019,강북구,2483,613,561,244,150,71,94,13,20,28,10,18,10,7,5,73.07,68.8,69,45.69,63.03,57.72,43.52,39.39,54.05,60.87,43.48,62.07,83.33,58.33,83.33
2019,광진구,1906,410,407,216,117,58,74,15,26,19,15,20,7,7,4,70.7,62.79,70.91,48.32,53.18,47.15,39.15,40.54,66.67,45.24,75,64.52,70,58.33,66.67
2019,노원구,3624,744,741,385,194,87,137,21,49,37,13,29,13,36,9,73.78,67.09,70.64,46.72,50.13,52.41,49.28,37.5,67.12,50.68,50,56.86,72.22,87.8,75
2019,도봉구,2432,538,500,282,164,61,104,26,18,27,13,18,8,7,5,74.83,67.17,71.12,48.37,60.52,50.41,49.29,61.9,64.29,52.94,61.9,51.43,80,53.85,83.33
2019,동대문구,2478,522,436,227,114,75,96,17,19,24,11,21,10,10,6,72.1,66.16,68.88,43.16,51.58,48.7,46.6,56.67,59.38,52.17,37.93,55.26,58.82,76.92,100
2019,마포구,1861,446,423,163,111,64,73,15,19,24,11,13,6,6,3,69.75,60.85,68.78,39.18,52.11,57.66,40.11,37.5,61.29,57.14,57.89,52,46.15,60,50
2019,서대문구,1847,445,378,198,117,60,103,13,16,19,14,21,6,7,3,73,62.32,70.52,40.16,56.52,53.57,48.13,54.17,43.24,51.35,73.68,55.26,66.67,70,75
2019,서울북부,29897,6692,6284,2955,1778,876,1173,223,316,297,177,271,119,131,70,72.43,65.05,69.43,44.31,56.28,52.52,44.15,46.65,60.08,53.61,56.01,56.69,68.79,70.81,80.46
2019,서울시,57105,13034,12269,5735,3626,1596,2362,559,620,564,359,549,219,247,129,72.46,65.42,70.3,44.35,57.63,52.23,44.02,46.01,60.9,54.7,57.62,56.42,68.87,65.87,77.71
2019,성동구,1760,402,368,177,104,47,67,15,17,15,23,20,11,13,5,69.98,66.67,69.57,44.47,60.47,49.47,44.08,50,48.57,45.45,60.53,57.14,78.57,100,100
2019,성북구,2625,566,508,229,132,74,101,24,33,27,13,23,10,3,7,72.33,63.45,66.49,40.97,49.25,52.48,40.4,60,68.75,77.14,56.52,54.76,66.67,37.5,87.5
2019,용산구,985,235,262,89,80,30,33,3,13,8,5,10,3,5,3,65.19,55.95,63.59,37.55,56.34,44.12,32.35,23.08,61.9,36.36,35.71,41.67,60,71.43,100
2019,은평구,3191,828,724,282,215,92,96,28,38,33,21,38,10,8,9,76.47,69.29,71.12,45.85,61.96,51.98,38.25,53.85,60.32,57.89,55.26,62.3,71.43,47.06,69.23
2019,종로구,781,174,176,73,60,28,25,8,8,5,3,6,7,5,3,66.98,55.95,66.67,37.06,58.25,50,35.21,36.36,44.44,41.67,60,42.86,63.64,83.33,100
2019,중구,715,177,206,73,43,26,38,5,7,7,1,9,5,2,3,64.65,61.67,67.1,40.33,57.33,50.98,53.52,31.25,77.78,53.85,33.33,69.23,71.43,100,100
2019,중랑구,3209,592,594,317,177,103,132,20,33,24,24,25,13,15,5,74.91,66.59,71.22,48.1,60,60.59,50,46.51,60,53.33,63.16,59.52,72.22,71.43,83.33
